"","Observation","CurveID","Site.Name","canopy.ground","Family","Order","Clade","Growth.form","LimitState","Amax","Vcmax25","Jmax25","tpu25","numrubisco","numrubp","numtpu","LMA","Nmass","Cmass","Pmass","wood.density","density.source","citation_id","lat","lon","site_id","species_id"
"56",108,"no108-2013jan29brick3.csv","SLZ","ground","Moraceae","Rosales","rosids","tree","RuBpTpu","7.5","NA","48.78","3.46","0","13","1","32.95","14.6","364.8","1.53","0.315","Wright et al.",2000000018,9.280225,-79.975527,2000000003,50786
"57",110,"no110-2013jan29brick_1of3.csv","SLZ","ground","Melastomataceae","Myrtales","rosids","tree","RubiscoRuBpTpu","11.31","32.36","57.65","3.72","10","1","4","42.6","21","470.6","1.1","0.57","Wright et al.",2000000018,9.280225,-79.975527,2000000003,5748
"58",111,"no111-13jan29cecelia2.csv","SLZ","canopy","Annonaceae","Magnoliales","magnoliids","tree","RubiscoRuBp","7.8","15.22","30.97","2.53","12","3","0","73.33","18.1","469.9","0.6","0.84","Wright et al.",2000000018,9.280225,-79.975527,2000000003,1000015453
"59",112,"no112-13jan29agnes_3of3.csv","SLZ","canopy","Urticaceae","Rosales","rosids","tree","RubiscoRuBpTpu","16.82","62.48","85.2","5.11","5","3","7","64.82","26","435.4","1.21","0.357","Wright et al.",2000000018,9.280225,-79.975527,2000000003,1000011418
"60",113,"no113-13jan29agnes1.csv","SLZ","canopy","Annonaceae","Magnoliales","magnoliids","tree","RubiscoRuBpTpu","9.98","28.9","49.56","3.23","11","1","4","71.2","24.3","474.8","0.85","0.84","Wright et al.",2000000018,9.280225,-79.975527,2000000003,1000015453
"61",114,"no114-13jan29dorothy.csv","SLZ","canopy","Moraceae","Rosales","rosids","tree","","NA","NA","NA","NA","NA","NA","NA","79.96","17.6","422","0.84","0.337","Wright et al.",2000000018,9.280225,-79.975527,2000000003,11040
"62",115,"no115-13jan29cecelia1.csv","SLZ","canopy","Urticaceae","Rosales","rosids","tree","RubiscoRuBpTpu","21.15","53.91","90.3","6.22","9","4","3","69.07","26.3","437.6","1.41","0.357","Wright et al.",2000000018,9.280225,-79.975527,2000000003,1000011418
"63",116,"no116-13jan29cecelia3.csv","SLZ","canopy","Annonaceae","Magnoliales","magnoliids","tree","RubiscoTpu","15.78","24.47","NA","4.24","15","0","1","89.18","27.9","458.2","1.77","0.446","Wright et al.",2000000018,9.280225,-79.975527,2000000003,1000005776
"64",117,"no117-13jan29agnes_2of3.csv","SLZ","canopy","Moraceae","Rosales","rosids","tree","RubiscoRuBpTpu","11.03","26.87","51.32","3.53","11","2","2","92.26","18.9","432.4","0.87","0.337","Wright et al.",2000000018,9.280225,-79.975527,2000000003,11040
"65",118,"no118-13jan29agnes2.csv","SLZ","canopy","Annonaceae","Magnoliales","magnoliids","tree","RubiscoRuBpTpu","15.44","38.99","70.17","4.79","9","3","2","85.63","23.7","461.3","1.12","0.446","Wright et al.",2000000018,9.280225,-79.975527,2000000003,1000005776
"66",119,"no119-13jan29cecelia.csv","SLZ","canopy","Moraceae","Rosales","rosids","tree","","NA","NA","NA","NA","NA","NA","NA","80.67","18","436.3","0.89","0.337","Wright et al.",2000000018,9.280225,-79.975527,2000000003,11040
"67",120,"no120-13jan29agnes_1of3.csv","SLZ","canopy","Moraceae","Rosales","rosids","tree","RubiscoRuBpTpu","12.62","30.67","55.76","3.84","11","3","2","74.04","20.1","432.1","1.03","0.337","Wright et al.",2000000018,9.280225,-79.975527,2000000003,11040
"68",121,"no121-13jan29dorothy2.csv","SLZ","canopy","Annonaceae","Magnoliales","magnoliids","tree","RubiscoRuBpTpu","12.15","32.25","55.05","3.69","11","2","3","68.13","24.8","481.5","0.85","0.84","Wright et al.",2000000018,9.280225,-79.975527,2000000003,1000015453
"69",123,"no123-13jan29dorothy1.csv","SLZ","canopy","Urticaceae","Rosales","rosids","tree","RubiscoRuBpTpu","18.14","60.43","87.51","5.42","6","4","6","72.15","25.6","437.6","1.13","0.357","Wright et al.",2000000018,9.280225,-79.975527,2000000003,1000011418
"70",125,"7-Cassiporea ellipfiea,brick","SLZ","ground","Rhizophoraceae","Rhizophorales","rosids","tree","","NA","NA","NA","NA","NA","NA","NA","41.87","26.48","421.1","1.24","0.631","",2000000018,9.280225,-79.975527,2000000003,1000002292
"71",126,"no126-2013jan29brick3_1.csv","SLZ","ground","Araliaceae","Apilaes","asterids","tree","RubiscoRuBpTpu","11.14","29.05","50.51","3.53","10","5","1","41.53","17.4","428.7","1.05","0.411","Wright et al.",2000000018,9.280225,-79.975527,2000000003,26318
"72",127,"no127-2013jan29brick3_2.csv","SLZ","canopy","Lacistemataceae","Malpighiales","rosids","tree","RubiscoTpu","8.23","19.85","NA","2.58","11","0","5","53.23","20.6","439.3","0.68","0.558","Wright et al.",2000000018,9.280225,-79.975527,2000000003,1000006944
"73",128,"no128-13jan30dorothy3.csv","SLZ","canopy","Apocynaceae","Gentianales","asterids","tree","RubiscoTpu","7.9","16.97","NA","2.48","11","0","3","143.59","17.7","490.5","0.61","0.777","Chave et al. ",2000000018,9.280225,-79.975527,2000000003,49980
"74",129,"no129-13jan30agnes2.csv","SLZ","canopy","Apocynaceae","Gentianales","asterids","tree","","NA","NA","NA","NA","NA","NA","NA","155.18","16.8","489.4","0.54","0.777","Chave et al. ",2000000018,9.280225,-79.975527,2000000003,49980
"75",130,"no130-13jan30dorothy1.csv","SLZ","canopy","Anacardiaceae","Sapindales","rosids","tree","RubiscoRuBp","12.2","21.7","46.2","3.69","11","3","0","107.87","14.7","472","0.72","0.494","Wright et al.",2000000018,9.280225,-79.975527,2000000003,1000014356
"76",131,"no131-13jan30dorothy.csv","SLZ","canopy","Moraceae","Rosales","rosids","tree","RubiscoRuBpTpu","15.15","47.28","74.51","4.72","8","1","5","101.72","15.6","470.1","1.15","0.509","Wright et al.",2000000018,9.280225,-79.975527,2000000003,30553
"77",132,"no132-13jan30agnes.csv","SLZ","canopy","Malvaceae","Malvales","rosids","tree","RubiscoRuBpTpu","16.25","40.41","70.58","4.79","10","3","3","117.1","16.7","487.7","0.9","0.321","Wright et al.",2000000018,9.280225,-79.975527,2000000003,1000000744
"78",133,"APME-01,Cecilia,","SLZ","canopy","Malvaceae","Malvales","rosids","tree","","NA","NA","NA","NA","NA","NA","NA","115.2","17.2","479.7","0.88","0.278","",2000000018,9.280225,-79.975527,2000000003,1000000744
"79",134,"no134-13jan30agnes4.csv","SLZ","canopy","Euphorbiaceae","Malpighiales","rosids","tree","RubiscoRuBpTpu","23.77","60.44","102.52","6.68","10","2","3","141.22","21.1","443.6","1.41","0.502","Wright et al.",2000000018,9.280225,-79.975527,2000000003,39945
"80",135,"TAGU-03,cecilia, crane","SLZ","canopy","Anacardiaceae","Sapindales","rosids","tree","","NA","NA","NA","NA","NA","NA","NA","52.52","26.93","457.1","2.78","0.457","Chave et al. ",2000000018,9.280225,-79.975527,2000000003,1000014356
"81",136,"(4)Brosimum utile, ft.sherman crane,dorothy, leaf defolded","SLZ","canopy","Moraceae","Rosales","rosids","tree","","NA","NA","NA","NA","NA","NA","NA","132.71","13.8","479.1","0.71","0.506","",2000000018,9.280225,-79.975527,2000000003,30553
"82",137,"no137-13jan30agnes1_1of2.csv","SLZ","canopy","Anacardiaceae","Sapindales","rosids","tree","RubiscoRuBp","10.95","21.54","43.64","3.38","12","4","0","105.03","14.6","476","0.68","0.494","Wright et al.",2000000018,9.280225,-79.975527,2000000003,1000014356
"83",138,"no138-13jan30dorothy2.csv","SLZ","canopy","Combretaceae","Myrtales","rosids","tree","","NA","NA","NA","NA","NA","NA","NA","55.35","21.4","456.8","1.87","0.665","Wright et al.",2000000018,9.280225,-79.975527,2000000003,1000014401
"84",139,"no139-13jan30agnes1_2of2.csv","SLZ","canopy","Combretaceae","Myrtales","rosids","tree","","NA","NA","NA","NA","NA","NA","NA","66.24","23.1","462.6","1.62","0.665","Wright et al.",2000000018,9.280225,-79.975527,2000000003,1000014401
"85",140,"no140-13jan30cecilia2.csv","SLZ","canopy","Apocynaceae","Gentianales","asterids","tree","RubiscoRuBp","16.66","41.9","79.08","5.76","11","4","0","126.56","17.4","493.5","0.67","0.777","Chave et al. ",2000000018,9.280225,-79.975527,2000000003,49980
"86",141,"no141-13jan30dorothy4.csv","SLZ","canopy","Euphorbiaceae","Malpighiales","rosids","tree","RubiscoRuBpTpu","25.62","76.32","116.51","7.54","9","3","3","120.64","22.8","444.9","1.85","0.502","Wright et al.",2000000018,9.280225,-79.975527,2000000003,39945
"87",142,"no142-13jan30cecilia3.csv","SLZ","canopy","Moraceae","Rosales","rosids","tree","RubiscoRuBp","23.69","47.78","104.54","7.55","10","3","0","101.72","21.7","428.4","1.62","0.315","Wright et al.",2000000018,9.280225,-79.975527,2000000003,50786
"88",143,"no143-13jan30agnes5.csv","SLZ","canopy","Rubiaceae","Gentianales","asterids","tree","RubiscoRuBpTpu","15.23","46.29","69.16","4.56","8","4","3","99.12","21.8","479.4","0.94","0.635","Wright et al.",2000000018,9.280225,-79.975527,2000000003,1000014669
"89",144,"no144-13jan30cecilia4.csv","SLZ","canopy","Fabaceae","Fabales","rosids","tree","","NA","NA","NA","NA","NA","NA","NA","109.29","19.7","497.5","1.1","0.648","Wright et al.",2000000018,9.280225,-79.975527,2000000003,2148
"90",145,"Sapium Brossium,Dorothy,crane","SLZ","canopy","Fabaceae","Fabales","rosids","tree","","NA","NA","NA","NA","NA","NA","NA","139.8","14.49","461.3","0.64","0.414","",2000000018,9.280225,-79.975527,2000000003,2148
"91",146,"no146-2013jan31brick1_1of2.csv","SLZ","canopy","Nyctaginaceae","Caryophyllales","core eudicots","tree","RubiscoRuBpTpu","13.69","48.01","58.79","3.86","7","4","4","NA","40.3","436.3","1.99","NA","",2000000018,9.280225,-79.975527,2000000003,1000018189
"92",147,"no147-2013jan31brick1_2of2.csv","SLZ","canopy","Euphorbiaceae","Malpighiales","rosids","tree","RubiscoRuBpTpu","12.54","34.57","53.71","3.53","8","2","5","35.25","23.7","453.7","1.72","NA","",2000000018,9.280225,-79.975527,2000000003,17932
"93",148,"FESP03,Brick,11.00","SLZ","ground","Piperaceae","Piperales","magnoliids","tree","","NA","NA","NA","NA","NA","NA","NA","37.14","31.61","409.2","1.81","NA","",2000000018,9.280225,-79.975527,2000000003,24509
"94",150,"F.S.Crane,Aci-Agnes,CAGU","SLZ","canopy","Meliaceae","Sapindales","rosids","tree","","NA","NA","NA","NA","NA","NA","NA","114.02","15.2","478","0.87","0.53","",2000000018,9.280225,-79.975527,2000000003,46649
"95",154,"no154-13jan30agnes7.csv","SLZ","canopy","Ochnaceae","Malpighiales","rosids","tree","RubiscoRuBp","14.01","33.21","57.2","4.16","11","5","0","59.38","18.4","479.2","0.74","0.588","Chave et al. ",2000000018,9.280225,-79.975527,2000000003,1000002532
"96",157,"F.S.Crane,Dorothy-LRC","SLZ","canopy","Humiriaceae","Malpighiales","rosids","tree","","NA","NA","NA","NA","NA","NA","NA","76.17","31.68","493.6","0.94","NA","",2000000018,9.280225,-79.975527,2000000003,1000015014
"97",159,"no159-13jan31-cecilia3.csv","SLZ","canopy","Ochnaceae","Malpighiales","rosids","tree","RubiscoRuBpTpu","22.54","49.39","99.57","6.95","12","2","1","97.7","19.1","465.1","0.91","0.588","Photosyntheti",2000000018,9.280225,-79.975527,2000000003,1000002532
"98",160,"no160-13jan31cecilia.csv","SLZ","canopy","Humiriaceae","Malpighiales","rosids","tree","RubiscoRuBpTpu","20.92","53.67","93.46","6.45","9","3","3","83.98","28.4","493","0.88","0.798","Joseph Wright",2000000018,9.280225,-79.975527,2000000003,1000015014
"99",161,"F.S.crane,ACi-Agnes,VADE","SLZ","canopy","Humiriaceae","Malpighiales","rosids","tree","","NA","NA","NA","NA","NA","NA","NA","154.94","14.29","471.8","0.63","0.835","",2000000018,9.280225,-79.975527,2000000003,1000015014
"100",162,"no162-13jan31-cecilia_4.csv","SLZ","canopy","Myristicaceae","Magnoliales","magnoliids","tree","RubiscoRuBpTpu","18.91","43.02","82.95","5.77","12","3","1","127.5","19.7","482","0.78","0.448","Joseph Wright",2000000018,9.280225,-79.975527,2000000003,1000015191
"101",163,"nonut-13jan30dorothy5.csv","SLZ","canopy","Fabaceae","Fabales","rosids","tree","RubiscoTpu","17.51","53.62","NA","NA","13","0","1","NA","NA","NA","NA","0.648","Joseph Wright",2000000018,9.280225,-79.975527,2000000003,2148
