citation_author,citation_year,citation_title,species,site,treatment,year,month,day,SLA,leafP,leafN,leafC,c2n_leaf,access_level
Xiaohui Feng,2015,Luquillo census field data,Casearia sylvestris,Luquillo,Observations,1990,8,3,15.29338889,0.126679321,3.69,46.77,12.67479675,4
Xiaohui Feng,2015,Luquillo census field data,Myrcia fallax,Luquillo,Observations,1992,6,12,15.35438462,0.045979967,1.930066667,47.00666667,24.35494456,4
Xiaohui Feng,2015,Luquillo census field data,Chione venosa,Luquillo,Observations,1990,8,23,15.5554,0.072008951,2.19,46.78,21.36073059,4
Xiaohui Feng,2015,Luquillo census field data,Margaritaria nobilis,Luquillo,Observations,1990,10,9,15.6425,0.101901481,3.06,45.97,15.02287582,4
Xiaohui Feng,2015,Luquillo census field data,Ocotea floribunda,Luquillo,Observations,1992,5,14,15.6755,0.079271287,1.773333333,48.81966667,27.52988723,4
Xiaohui Feng,2015,Luquillo census field data,Plectritis macrocera,Luquillo,Observations,1991,8,6,15.725,0.088,1.5088,48.32,32.02545069,4
Xiaohui Feng,2015,Luquillo census field data,Genipa americana,Luquillo,Observations,1992,6,9,16.009,0.075531529,1.971,46.0955,23.38685946,4
Xiaohui Feng,2015,Luquillo census field data,Cinnamomum montanum,Luquillo,Observations,1991,12,21,16.27566667,0.098745,1.02675,43.00025,41.87996104,4
Xiaohui Feng,2015,Luquillo census field data,Myrcia leptoclada,Luquillo,Observations,1992,6,4,16.28071429,0.024293775,1.35,46.775,34.64814815,4
Xiaohui Feng,2015,Luquillo census field data,Miconia prasina,Luquillo,Observations,1992,6,3,16.3616875,0.0995,1.976666667,47.86666667,24.2158516,4
Xiaohui Feng,2015,Luquillo census field data,Meliosma herbertii,Luquillo,Observations,1990,11,6,16.7365,0.097721765,2.214,46.77333333,21.12616682,4
Xiaohui Feng,2015,Luquillo census field data,Tabebuia heterophylla,Luquillo,Observations,1992,7,7,16.767,0.126215825,1.85,45.075,24.36486486,4
Xiaohui Feng,2015,Luquillo census field data,Cassipourea guianensis,Luquillo,Observations,1993,8,21,17.1005,0.110564948,2.776666667,45.90333333,16.53181272,4
Xiaohui Feng,2015,Luquillo census field data,Coffea arabica,Luquillo,Observations,1992,8,3,17.36125,0.100954862,3.725,47.775,12.82550336,4
Xiaohui Feng,2015,Luquillo census field data,Prestoea montana,Luquillo,Observations,1991,7,12,17.47920833,0.100525936,1.89,43.69333333,23.11816578,4
Xiaohui Feng,2015,Luquillo census field data,Ormosia krugii,Luquillo,Observations,1990,8,31,17.6162,0.077490791,2.346333333,42.07,17.93010371,4
Xiaohui Feng,2015,Luquillo census field data,Guarea glabra,Luquillo,Observations,1990,7,30,17.62885714,0.141753971,2.42,49.1,20.2892562,4
Xiaohui Feng,2015,Luquillo census field data,Cordia borinquensis,Luquillo,Observations,1990,8,27,17.93478947,0.058831254,2.2,44.27,20.12272727,4
Xiaohui Feng,2015,Luquillo census field data,Simarouba glauca,Luquillo,Observations,1992,6,3,17.9465,0.195334392,3.103333333,48.13333333,15.51020408,4
Xiaohui Feng,2015,Luquillo census field data,Pseudolmedia spuria,Luquillo,Observations,1990,11,8,18.0228,0.073332121,1.490333333,47.018,31.54864684,4
Xiaohui Feng,2015,Luquillo census field data,Psychotria grandis,Luquillo,Observations,1992,7,1,18.15185714,0.101499409,2.9,44.8,15.44827586,4
Xiaohui Feng,2015,Luquillo census field data,Eugenia eggersii,Luquillo,Observations,1992,7,6,18.188,0.056382289,1.4,44.8,32,4
Xiaohui Feng,2015,Luquillo census field data,Citharexylum fruticosum,Luquillo,Observations,1992,6,9,18.425,0.0688821,1.8211105,48.7282,26.75740983,4
Xiaohui Feng,2015,Luquillo census field data,Cecropia schreberiana,Luquillo,Observations,1993,8,12,18.4775,0.21881314,2.2409,45.59,20.34450444,4
Xiaohui Feng,2015,Luquillo census field data,Cinnamomum elongatum,Luquillo,Observations,1993,6,21,18.50385714,0.079,0.980333333,43.71733333,44.59435567,4
Xiaohui Feng,2015,Luquillo census field data,Piper aduncum,Luquillo,Observations,1992,6,3,18.558,0.219533319,3.35,44.7,13.34328358,4
Xiaohui Feng,2015,Luquillo census field data,Rondeletia portoricensis,Luquillo,Observations,1992,6,9,18.6345,0.13473355,2.206,42.25333333,19.15382291,4
Xiaohui Feng,2015,Luquillo census field data,Miconia laevigata,Luquillo,Observations,1992,6,15,18.935,0.049969803,1.82,46.8,25.71428571,4
Xiaohui Feng,2015,Luquillo census field data,Citharexylum caudatum,Luquillo,Observations,1992,7,6,19.054,0.071520927,1.706666667,49.23333333,28.84765624,4
Xiaohui Feng,2015,Luquillo census field data,Alchornea latifolia,Luquillo,Observations,1990,7,30,19.18253333,0.083819177,2.106666667,47.835,22.70648734,4
Xiaohui Feng,2015,Luquillo census field data,Quararibea turbinata,Luquillo,Observations,1992,7,15,19.20866667,0.104616987,2.4,43.2,18,4
Xiaohui Feng,2015,Luquillo census field data,Schefflera morototoni,Luquillo,Observations,1992,6,9,19.6852,0.183604456,2.1984,47.742,21.71670306,4
Xiaohui Feng,2015,Luquillo census field data,Artocarpus altilis,Luquillo,Observations,1991,6,11,19.74,0.135337639,2.085666667,41.27666667,19.79063449,4
Xiaohui Feng,2015,Luquillo census field data,Psychotria deflexa,Luquillo,Observations,1992,6,5,19.7855,0.088685,2.64,40.5,15.34090909,4
Xiaohui Feng,2015,Luquillo census field data,Inga laurina,Luquillo,Observations,1990,7,30,19.84128571,0.105545153,3.252857143,48.87142857,15.02415459,4
Xiaohui Feng,2015,Luquillo census field data,Aeschynomene americana,Luquillo,Observations,1993,5,10,20.0342,0.14952,3.823,45.225,11.82971488,4
Xiaohui Feng,2015,Luquillo census field data,Chrysophyllum argenteum,Luquillo,Observations,1992,6,4,20.0995,0.107310204,1.8,46.9,26.05555556,4
Xiaohui Feng,2015,Luquillo census field data,Brunfelsia portoricensis,Luquillo,Observations,1992,7,6,20.1385,0.13711645,1.86625,43.5875,23.35565975,4
Xiaohui Feng,2015,Luquillo census field data,Pluchea symphytifolia,Luquillo,Observations,1992,7,8,20.153,0.0822,1.528,44.28,28.97905759,4
Xiaohui Feng,2015,Luquillo census field data,Hibiscus tiliaceus,Luquillo,Observations,1992,1,7,20.409,0.198035985,3.226666667,47.14333333,14.61053719,4
Xiaohui Feng,2015,Luquillo census field data,Miconia impetiolaris,Luquillo,Observations,1992,7,23,20.65357143,0.062349715,2.96,46.4,15.67567568,4
Xiaohui Feng,2015,Luquillo census field data,Miconia racemosa,Luquillo,Observations,1992,6,12,20.674875,0.058462787,2.71,42.7,15.75645756,4
Xiaohui Feng,2015,Luquillo census field data,Ludwigia octovalvis,Luquillo,Observations,1992,7,8,20.834,0.091,1.889,48.22,25.52673372,4
Xiaohui Feng,2015,Luquillo census field data,Drypetes alba,Luquillo,Observations,1992,6,5,21.2535,0.06657607,2.4,46.707,19.46125,4
Xiaohui Feng,2015,Luquillo census field data,Oxandra laurifolia,Luquillo,Observations,1991,2,26,21.363,0.073142114,1.775,44.805,25.24225352,4
Xiaohui Feng,2015,Luquillo census field data,Comocladia glabra,Luquillo,Observations,1992,7,8,21.5115,0.108601525,2.565,47.725,18.60623782,4
Xiaohui Feng,2015,Luquillo census field data,Casearia arborea,Luquillo,Observations,1992,6,4,21.81946154,0.05295314,2.826666667,49.83333333,17.62971698,4
Xiaohui Feng,2015,Luquillo census field data,Cestrum macrophyllum,Luquillo,Observations,1992,7,30,22.393,0.25209074,3.9,45.93333333,11.77777778,4
Xiaohui Feng,2015,Luquillo census field data,Hamelia axillaris,Luquillo,Observations,1995,2,8,22.46575,0.372,3.34,50.435,15.1002994,4
Xiaohui Feng,2015,Luquillo census field data,Ochroma pyramidale,Luquillo,Observations,1993,3,11,22.55577778,0.150033333,2.23,43.9,19.68609865,4
Xiaohui Feng,2015,Luquillo census field data,Inga vera,Luquillo,Observations,1990,7,30,23.0835,0.167744587,4.875,50.7,10.4,4
Xiaohui Feng,2015,Luquillo census field data,Byrsonima spicata,Luquillo,Observations,1990,8,31,23.7992,0.088549345,2.09,50.24,24.03827751,4
Xiaohui Feng,2015,Luquillo census field data,Trichilia pallida,Luquillo,Observations,1990,7,30,23.8252,0.061093937,1.653333333,44.3,26.79435484,4
Xiaohui Feng,2015,Luquillo census field data,Faramea occidentalis,Luquillo,Observations,1992,6,3,24.206,0.054452626,1.756666667,42.05,23.9373814,4
Xiaohui Feng,2015,Luquillo census field data,Myrcia splendens,Luquillo,Observations,1992,6,3,24.6395,0.057387086,1.345,43.75,32.52788104,4
Xiaohui Feng,2015,Luquillo census field data,Rauvolfia nitida,Luquillo,Observations,2001,11,15,24.642,0.117377874,2.5705,46.195,17.97121183,4
Xiaohui Feng,2015,Luquillo census field data,Pterocarpus officinalis,Luquillo,Observations,1992,1,28,24.70122222,0.141886068,3.346,49.702,14.85415421,4
Xiaohui Feng,2015,Luquillo census field data,Homalium racemosum,Luquillo,Observations,1990,8,31,24.828125,0.094423725,1.884,46.2,24.52229299,4
Xiaohui Feng,2015,Luquillo census field data,Swietenia macrophylla,Luquillo,Observations,1992,6,12,24.96225,0.102108759,1.468571429,44.15714286,30.06809338,4
Xiaohui Feng,2015,Luquillo census field data,Calophyllum brasiliense,Luquillo,Observations,1991,11,13,24.98025,0.03698379,1.0525,50.4,47.88598575,4
Xiaohui Feng,2015,Luquillo census field data,Mimosa pudica,Luquillo,Observations,2001,6,20,25.02,0.1528,3.882,46.323,11.93276662,4
Xiaohui Feng,2015,Luquillo census field data,Guatteria caribaea,Luquillo,Observations,1990,11,7,25.53425,0.058383584,1.8,46.5,25.83333333,4
Xiaohui Feng,2015,Luquillo census field data,Andira inermis,Luquillo,Observations,1990,7,30,25.80611111,0.125349301,2.93,50.48,17.22866894,4
Xiaohui Feng,2015,Luquillo census field data,Piper blattarum,Luquillo,Observations,1992,6,5,26.35866667,0.098463969,4.09,46.3,11.3202934,4
Xiaohui Feng,2015,Luquillo census field data,Spathodea campanulata,Luquillo,Observations,1993,8,10,26.5008,0.158103592,2.233333333,42.76666667,19.14925374,4
Xiaohui Feng,2015,Luquillo census field data,Clibadium erosum,Luquillo,Observations,1993,7,16,27.0405,0.182915,2.172,46.0158,21.1859116,4
Xiaohui Feng,2015,Luquillo census field data,Samyda spinulosa,Luquillo,Observations,1992,6,4,27.127,0.103696335,1.74,47.35,27.21264368,4
Xiaohui Feng,2015,Luquillo census field data,Buchenavia tetraphylla,Luquillo,Observations,1990,7,30,27.1868,0.06596528,2.122,45.14,21.27238454,4
Xiaohui Feng,2015,Luquillo census field data,Palicourea riparia,Luquillo,Observations,1993,6,28,27.33116667,0.07535877,2.96,44.8,15.13513514,4
Xiaohui Feng,2015,Luquillo census field data,Heterotrichum cymosum,Luquillo,Observations,1992,7,16,27.61,0.074133333,1.925,45.22666667,23.4943723,4
Xiaohui Feng,2015,Luquillo census field data,Guarea guidonia,Luquillo,Observations,1990,7,30,27.67375,0.144589283,2.87,48.6,16.93379791,4
Xiaohui Feng,2015,Luquillo census field data,Zanthoxylum martinicense,Luquillo,Observations,1991,4,4,27.9005,0.191820792,2.6075,47.07,18.05177373,4
Xiaohui Feng,2015,Luquillo census field data,Henriettea fascicularis,Luquillo,Observations,1990,9,5,28.04075,0.183455636,2.675,40,14.95327103,4
Xiaohui Feng,2015,Luquillo census field data,Dendropanax arboreus,Luquillo,Observations,1990,8,23,29.376,0.234097366,3,46.8,15.6,4
Xiaohui Feng,2015,Luquillo census field data,Alchorneopsis floribunda,Luquillo,Observations,1990,7,30,29.50036364,0.133169139,4.7675,48.15,10.09963293,4
Xiaohui Feng,2015,Luquillo census field data,Psychotria brachiata,Luquillo,Observations,1992,6,12,30.28326667,0.089493961,2.591666667,37.31166667,14.39678457,4
Xiaohui Feng,2015,Luquillo census field data,Gonzalagunia spicata,Luquillo,Observations,1992,6,3,30.421,0.076585524,2.34,45.575,19.47649573,4
Xiaohui Feng,2015,Luquillo census field data,Piper glabrescens,Luquillo,Observations,1992,6,5,30.83511111,0.079239661,2.966,41.294,13.92245448,4
Xiaohui Feng,2015,Luquillo census field data,Guazuma ulmifolia,Luquillo,Observations,1991,4,10,32.209,0.166223428,3.94,47.3,12.00507614,4
Xiaohui Feng,2015,Luquillo census field data,Ceiba pentandra,Luquillo,Observations,1993,7,7,34.34866667,0.337267192,2.85,45.29,15.89122807,4
Xiaohui Feng,2015,Luquillo census field data,Piper hispidum,Luquillo,Observations,1992,6,4,35.275,0.125885413,3.234,42.76,13.22201608,4
Xiaohui Feng,2015,Luquillo census field data,Sapium laurocerasus,Luquillo,Observations,1990,7,30,35.91483333,0.097186971,2.065,43.65,21.13801453,4
Xiaohui Feng,2015,Luquillo census field data,Pothomorphe umbellata,Luquillo,Observations,1992,7,2,36.976,0.188607952,3.7375,45.5,12.17391304,4
Xiaohui Feng,2015,Luquillo census field data,Psychotria berteriana,Luquillo,Observations,1993,8,26,37.23886207,0.08,2.942,42.52,14.45275323,4
Xiaohui Feng,2015,Luquillo census field data,Urera baccifera,Luquillo,Observations,1992,6,5,38.47733333,0.169469343,5.066666667,37.83333333,7.467105262,4
Xiaohui Feng,2015,Luquillo census field data,Laetia procera,Luquillo,Observations,1990,7,30,38.627375,0.07274951,2.3625,48.55,20.55026455,4
